model,tier,n_features,auc_roc,log_loss,brier
Logistic Regression,Tier 1 (raw),2,0.7340622295989891,0.2934307682449872,0.0829735562304847
Logistic Regression,Tier 1 + poly,6,0.7347563176412468,0.2943447944095767,0.0829048193215519
Logistic Regression,Tier 1+2 + poly,36,0.7831925931989632,0.2739903845515948,0.0776044575077749
Logistic Regression,Tier 1+2+3 (GK),43,0.7953741094973538,0.2675445288355274,0.075773557700271
Logistic Regression,Tier 1+2+3+4 (freeze frame),51,0.8025558430875873,0.2635911250062042,0.0746588100206672
Logistic Regression,Tier 1+2+3+4+5 (all),61,0.8044681578774375,0.2625014008247979,0.0744062566245827
Naive Bayes,Tier 1+2+3+4+5 (all),57,0.7624530211737526,1.8266762339124805,0.1497238982656258
Decision Tree,Tier 1+2+3+4+5 (all),57,0.7907072450083886,0.2798874099806493,0.0759849114305492
Random Forest,Tier 1+2+3+4+5 (all),57,0.8101343816302868,0.2595675304385718,0.073773348229374
Random Forest,Tier 1 only (geometry),2,0.7371166457057599,0.2913879614475592,0.0828023893426742
Random Forest,Tier 1+2,32,0.7832633504584711,0.2747204349041942,0.0782589032708417
Random Forest,Tier 1+2+3 (GK),39,0.7994256679782105,0.265655592314007,0.0755897684507902
Random Forest,Tier 1+2+3+4 (freeze frame),47,0.8093985940741399,0.2603015662015316,0.0740492940974114
XGBoost (vanilla),Tier 1+2+3+4+5 (all),57,0.8107989538918433,0.25908915609348926,0.07350115478038788
XGBoost (tuned),Tier 1+2+3+4+5 (all),57,0.8123482667182987,0.25821623894010776,0.07337523996829987
XGBoost (tuned),Tier 1 only (geometry),2,0.73922439490451,0.29060946873940724,0.08263938128948212
XGBoost (tuned),Tier 1+2,32,0.7872937660399305,0.27199710432898183,0.07749666273593903
XGBoost (tuned),Tier 1+2+3 (GK),39,0.802339815421389,0.2642981634727512,0.07527632266283035
XGBoost (tuned),Tier 1+2+3+4 (freeze frame),47,0.8111837766465575,0.2592743119268129,0.07375689595937729
XGBoost + Platt,Tier 1+2+3+4+5 (all),57,0.8126148797789823,0.26426207935011264,0.07435334424552298
XGBoost + Isotonic,Tier 1+2+3+4+5 (all),57,0.8127814946205061,0.2587005428081137,0.07352364028945971
