model,tier,n_features,auc_roc,log_loss,brier
Logistic Regression,Tier 1 (raw),2,0.7340622295989891,0.2934307682449872,0.08297355623048472
Logistic Regression,Tier 1 + poly,6,0.7347563176412468,0.2943447944095767,0.08290481932155197
Logistic Regression,Tier 1+2 + poly,36,0.7831925931989632,0.2739903845515948,0.07760445750777496
Logistic Regression,Tier 1+2+3 (GK),43,0.7953741094973538,0.26754452883552743,0.07577355770027107
Logistic Regression,Tier 1+2+3+4 (freeze frame),51,0.8025558430875873,0.26359112500620424,0.07465881002066725
Logistic Regression,Tier 1+2+3+4+5 (all),61,0.8044681578774375,0.26250140082479795,0.07440625662458272
Naive Bayes,Tier 1+2+3+4+5 (all),57,0.7624530211737526,1.8266762339124805,0.14972389826562585
Decision Tree,Tier 1+2+3+4+5 (all),57,0.7907072450083886,0.2798874099806493,0.07598491143054921
Random Forest,Tier 1+2+3+4+5 (all),57,0.8101343816302868,0.25956753043857184,0.07377334822937402
Random Forest,Tier 1 only (geometry),2,0.7371166457057599,0.2913879614475592,0.08280238934267421
Random Forest,Tier 1+2,32,0.7832633504584711,0.27472043490419423,0.07825890327084173
Random Forest,Tier 1+2+3 (GK),39,0.7994256679782105,0.265655592314007,0.07558976845079021
Random Forest,Tier 1+2+3+4 (freeze frame),47,0.8093985940741399,0.2603015662015316,0.07404929409741147
